scope,asset,variant,rows,mse,residual_correlation
2021,IWM,raw_gbm2,52,0.0009499211101189816,0.15993912234429186
2021,IWM,cal_gbm2,52,0.0009499211101189816,0.15993912234429186
2021,IWM,static_gbm2,52,0.000967743793418574,
2021,EFA,mean,52,0.0002881267907993789,
2021,EFA,raw_ridge100,52,0.00028680976305801923,0.2276932178720774
2021,EFA,cal_ridge100,52,0.00028680976305801923,0.2276932178720774
2021,EFA,static_ridge100,52,0.0002881224824881463,
2021,EFA,raw_gbm2,52,0.0002885558337781892,0.07626279520455517
2021,EFA,cal_gbm2,52,0.0002885558337781892,0.07626279520455517
2021,EFA,static_gbm2,52,0.00029054532320608675,
2021,EEM,mean,52,0.0005670523648571756,
2021,EEM,raw_ridge100,52,0.0005561205291126279,0.10826507691591618
2021,EEM,cal_ridge100,52,0.0005561205291126279,0.10826507691591618
2021,EEM,static_ridge100,52,0.000567136765946789,
2021,EEM,raw_gbm2,52,0.0005548984969156945,0.17556841278046087
2021,EEM,cal_gbm2,52,0.0005548984969156945,0.17556841278046087
2021,EEM,static_gbm2,52,0.0005620648341466059,
2021,IEF,mean,52,4.3908192386613775e-05,
2021,IEF,raw_ridge100,52,4.316144086641517e-05,0.13086468530856418
2021,IEF,cal_ridge100,52,4.316144086641517e-05,0.13086468530856418
2021,IEF,static_ridge100,52,4.3855492245948314e-05,
2021,IEF,raw_gbm2,52,4.294385131019877e-05,
2021,IEF,cal_gbm2,52,4.294385131019877e-05,
2021,IEF,static_gbm2,52,4.294385131019877e-05,
2021,TLT,mean,52,0.00026186589931823773,
2021,TLT,raw_ridge100,52,0.00026428800073797235,0.010058705903950848
2021,TLT,cal_ridge100,52,0.00026428800073797235,0.010058705903950848
2021,TLT,static_ridge100,52,0.0002618467024705592,
2021,TLT,raw_gbm2,52,0.00026090874465716125,0.009288138213052285
2021,TLT,cal_gbm2,52,0.00026090874465716125,0.009288138213052285
2021,TLT,static_gbm2,52,0.0002596060806840925,
2022,pooled,mean,416,0.0008185937362418656,
2022,pooled,raw_ridge100,416,0.0008580205074221731,0.08372598341110137
2022,pooled,cal_ridge100,416,0.0008580205074221731,0.08372598341110137
2022,pooled,static_ridge100,416,0.0008186158473489971,-0.039020938879220424
2022,pooled,raw_gbm2,416,0.0008377903440980536,0.1027148554142594
2022,pooled,cal_gbm2,416,0.0008377903440980536,0.1027148554142594
2022,pooled,static_gbm2,416,0.0008079861663429014,0.046440533650620286
2022,SPY,mean,52,0.0008773343353254415,
2022,SPY,raw_ridge100,52,0.0009242988654511476,0.23341793784866802
2022,SPY,cal_ridge100,52,0.0009242988654511476,0.23341793784866802
2022,SPY,static_ridge100,52,0.0008773208228945762,
2022,SPY,raw_gbm2,52,0.0008692560784200006,0.19825367604569027
2022,SPY,cal_gbm2,52,0.0008692560784200006,0.19825367604569027
2022,SPY,static_gbm2,52,0.0008648955655261933,
2022,QQQ,mean,52,0.0015283668489557705,
2022,QQQ,raw_ridge100,52,0.0016645519126951096,0.27873375459969385
2022,QQQ,cal_ridge100,52,0.0016645519126951096,0.27873375459969385
2022,QQQ,static_ridge100,52,0.0015285218167848517,
2022,QQQ,raw_gbm2,52,0.0015559260109791096,0.11086723486579021
2022,QQQ,cal_gbm2,52,0.0015559260109791096,0.11086723486579021
2022,QQQ,static_gbm2,52,0.0015026316088875605,
2022,GLD,mean,52,0.0003728449736947623,
2022,GLD,raw_ridge100,52,0.0003716407264675786,0.09257224776773898
2022,GLD,cal_ridge100,52,0.0003716407264675786,0.09257224776773898
2022,GLD,static_ridge100,52,0.0003728392935804713,
2022,GLD,raw_gbm2,52,0.00037051809054500527,0.06451989091547669
2022,GLD,cal_gbm2,52,0.00037051809054500527,0.06451989091547669
2022,GLD,static_gbm2,52,0.00037183540946934184,
2022,IWM,mean,52,0.0010263110212421981,
2022,IWM,raw_ridge100,52,0.001073881609375884,0.2364931498208968
2022,IWM,cal_ridge100,52,0.001073881609375884,0.2364931498208968
2022,IWM,static_ridge100,52,0.0010264366352641335,
2022,IWM,raw_gbm2,52,0.0010727948437627734,0.062222630824100886
2022,IWM,cal_gbm2,52,0.0010727948437627734,0.062222630824100886
2022,IWM,static_gbm2,52,0.001012510208750077,
2022,EFA,mean,52,0.0008676504845000515,
2022,EFA,raw_ridge100,52,0.0008807359228181044,0.21702373159146612
2022,EFA,cal_ridge100,52,0.0008807359228181044,0.21702373159146612
2022,EFA,static_ridge100,52,0.0008676606207615103,
2022,EFA,raw_gbm2,52,0.0009006255820830446,0.05213624235571858
2022,EFA,cal_gbm2,52,0.0009006255820830446,0.05213624235571858
2022,EFA,static_gbm2,52,0.0008606502644331589,
2022,EEM,mean,52,0.0009782582918024365,
2022,EEM,raw_ridge100,52,0.000978322213899832,0.19740503746187427
2022,EEM,cal_ridge100,52,0.000978322213899832,0.19740503746187427
2022,EEM,static_ridge100,52,0.0009783593481412695,
2022,EEM,raw_gbm2,52,0.0009618975417467841,0.2617312106513443
2022,EEM,cal_gbm2,52,0.0009618975417467841,0.2617312106513443
