scenario,level,period,observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return
delay1,2x,2023,250,-0.012375629436833485,-0.004941088678850274,0.0704014240290787,5.187479449108458,0.6234662424222486,0.37653375757775154,-0.00738251329130335,-0.05346765710548118,-0.04707656606937516
delay1,2x,2024,252,0.06880616789413847,0.07944298734058097,0.08420934012504193,4.713816943180765,0.8215195270252665,0.17848047297473352,0.07885237789540178,-0.04807490500264466,-0.03500650593077459
delay1,2x_cashcap,excluding_2020,1487,0.05710024300796947,0.07416761723823842,0.10666887778000651,26.098914055752097,0.7623824746606597,0.2376175253393405,,,
delay1,2x_cashcap,2018,230,-0.06286449870397452,-0.04879539710110756,0.09684730800893732,4.915481330283522,0.7118244975798488,0.2881755024201513,-0.052073076551237496,-0.09016092826240096,-0.06707043276794789
delay1,2x_cashcap,2019,252,0.08732580152314229,0.09176299964136247,0.054388712788716195,4.506624673892133,0.8120745171625808,0.18792548283741925,0.09447596279452108,-0.03387724528977132,-0.01933778004002451
delay1,2x_cashcap,2020,253,0.14110596822937888,0.15439808476666758,0.09413506798669205,3.699435249433127,0.862963296632652,0.13703670336734808,0.16175539329859356,-0.10112065570449602,-0.07497587956791574
delay1,2x_cashcap,2021,252,0.1781237572257312,0.20363029607354344,0.13040076392366276,2.629877807436197,0.9648426344575612,0.0351573655424389,0.2153757478088003,-0.07169056933827034,-0.06954255962674816
delay1,2x_cashcap,2022,251,0.07251409953605532,0.1126960836902198,0.16367036822867373,4.145633851851025,0.6345438316845837,0.3654561683154164,0.10436786661339204,-0.11996095537450502,-0.11740870938487724
delay1,2x_cashcap,2023,250,-0.012375629436831893,-0.004941088678848708,0.07040142402907859,5.187479449108457,0.6234662424222486,0.37653375757775154,-0.007382513291301129,-0.05346765710548129,-0.047076566069375714
delay1,2x_cashcap,2024,252,0.06880616789413685,0.07944298734057931,0.08420934012504179,4.713816943180766,0.8215195270252665,0.17848047297473352,0.07885237789539978,-0.048074905002644885,-0.03500650593077459
delay1,3x,excluding_2020,1487,0.049186893669468,0.08842715111665397,0.16174106352889273,32.32541981583893,1.157984008791288,0.07956265407842193,,,
delay1,3x,2018,230,-0.12508364133021915,-0.09268001861884917,0.14697760081357067,6.620919304717836,1.0804749854368176,0.13613816716571728,-0.09830724907412447,-0.13528018206265224,-0.10134198398391148
delay1,3x,2019,252,0.10401274667595889,0.1142482507167163,0.08260550442013495,5.411915930297251,1.2295089014283724,0.030749609487996016,0.11720745063636495,-0.054031651379852996,-0.03043615551642198
delay1,3x,2020,253,0.14945607073278336,0.18348505980199614,0.15061869974478112,4.317165257266224,1.3838793757686603,0.00015075831943432916,0.18778072881433672,-0.17239087650736196,-0.1134448282134054
delay1,3x,2021,252,0.21467848675991646,0.27690954717179717,0.2036844952565621,3.5053193617206975,1.5080508211139598,0.0,0.2917372981171138,-0.1090078009597889,-0.10632573008768242
delay1,3x,2022,251,0.06703676931763783,0.15673947947509595,0.24454407940418174,4.781452961106347,0.9539049496934275,0.2175644614250912,0.13509872413237822,-0.1763696544229536,-0.17278467215264148
delay1,3x,2023,250,-0.04838445088520558,-0.03161199871948341,0.1057432493218745,7.062288362314368,0.9368756853236297,0.09439188402348107,-0.03650228432112823,-0.09707527208922995,-0.07250124428956428
delay1,3x,2024,252,0.0666728481527075,0.09046509228776245,0.1259424316504832,4.943523895682434,1.2297573834823483,0.004136252983949487,0.08604647579507652,-0.07286046254677381,-0.054338001600614194
delay1,4x,excluding_2020,1487,0.02691534001023757,0.09654972183114496,0.2154597902485247,40.2345219872853,1.5429141157577908,0.0374309569255853,,,
delay1,4x,2018,230,-0.20144231911659946,-0.14325862797415412,0.19694955554226795,8.1299646322205,1.4435876859257601,0.0793907415677542,-0.15014251296345305,-0.18011938484754308,-0.13635170537804153
delay1,4x,2019,252,0.10942810014418236,0.12761196091390303,0.11010256058094402,6.927768841406605,1.636793647430495,0.006349102319160712,0.12925758465160997,-0.07641403963562077,-0.04263448998431385
delay1,4x,2020,253,0.1551823266707426,0.21614803722469333,0.20160309282341668,5.883545602983656,1.8441841724815058,0.0,0.21619636364461758,-0.2306035352595064,-0.15191261683685464
delay1,4x,2021,252,0.23303234068284212,0.34391078715563816,0.271880422824442,4.829612002685491,2.0076012209467478,0.0,0.3587840102585005,-0.14680560803368692,-0.1438540149655424
delay1,4x,2022,251,0.038063381166901084,0.1960987997683729,0.32458734684875584,6.066767073575374,1.2688578881642298,0.13796790477749385,0.15386001555357476,-0.23737721380859222,-0.22745529388846586
delay1,4x,2023,250,-0.09241811192060938,-0.0625246458775515,0.1411700299710905,7.702239453907007,1.2518105554900307,0.0006801780167297004,-0.0699014864908456,-0.14509119482835164,-0.09832304807746517
delay1,4x,2024,252,0.05350062758309566,0.09565694845622974,0.16764311472715698,6.578169983490323,1.6367644711750604,0.003968253968253968,0.08505052628504162,-0.09746115742021055,-0.07404672229120934
double_moves,1.5x,excluding_2020,1487,0.07716136156522395,0.11701528171594258,0.1630008592016591,21.0059558380108,0.5798840787605636,0.4201159212394366,,,
double_moves,1.5x,2018,230,-0.094741926273011,-0.06295920295921133,0.1455626401560503,4.048919079907957,0.537954602162487,0.46204539783751325,-0.07090513239696106,-0.12475595945550688,-0.09455851009087446
double_moves,1.5x,2019,252,0.1369743642358487,0.14761183230907116,0.0842119076030719,3.5799644774967225,0.6200935803847591,0.379906419615241,0.15493752630710933,-0.04436955505063078,-0.02576195388678426
double_moves,1.5x,2020,253,0.19348395298384224,0.22666903373037556,0.1487393262199192,3.517266859447475,0.6965606135115563,0.3034393864884438,0.24050752790937824,-0.16761044822248328,-0.11839479570952172
double_moves,1.5x,2021,252,0.26199277251517994,0.3222980818571475,0.2005082032269795,2.6616310132401138,0.7561278690717138,0.24387213092828625,0.35253729958001756,-0.0955617254268204,-0.09304715608531156
double_moves,1.5x,2022,251,0.059254177282589984,0.1550751231634781,0.252746178185267,3.208800651163682,0.4775045951413807,0.5224954048586194,0.13085886408505898,-0.19535079356160245,-0.16765330531952538
