date,ticker,action,weekday,actual_start,actual_end,range_status
2020-09-18,LUMN,add,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-09-21,COTY,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-09-21,CTLT,add,Monday,,,MISSING_MANIFEST
2020-09-21,ETSY,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-09-21,HRB,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-09-21,KSS,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-09-21,TER,add,Monday,2019-01-02,2026-08-28,WITHIN_RECORDED_RANGE_ONLY
2020-10-07,ETFC,remove,Wednesday,,,MISSING_MANIFEST
2020-10-07,POOL,add,Wednesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-10-12,NBL,remove,Monday,,,MISSING_MANIFEST
2020-10-12,VNT,add,Monday,2020-09-24,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-11-17,MYL,remove,Tuesday,,,MISSING_MANIFEST
2020-11-17,VTRS,add,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-12-21,AIV,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-12-21,TSLA,add,Monday,2019-01-02,2026-08-28,WITHIN_RECORDED_RANGE_ONLY
2021-01-07,ENPH,add,Thursday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-01-07,TIF,remove,Thursday,,,MISSING_MANIFEST
2021-01-21,CXO,remove,Thursday,,,MISSING_MANIFEST
2021-01-21,TRMB,add,Thursday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-02-12,FTI,remove,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-02-12,MPWR,add,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-03-22,CZR,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-03-22,FLS,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-03-22,GNRC,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-03-22,NXPI,add,Monday,2019-01-02,2026-08-28,WITHIN_RECORDED_RANGE_ONLY
2021-03-22,PENN,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-03-22,SLG,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-03-22,VNT,remove,Monday,2020-09-24,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-03-22,XRX,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-04-20,PTC,add,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-04-20,VAR,remove,Tuesday,,,MISSING_MANIFEST
2021-05-14,CRL,add,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-05-14,FLIR,remove,Friday,,,MISSING_MANIFEST
2021-06-04,HFC,remove,Friday,,,MISSING_MANIFEST
2021-06-04,OGN,add,Friday,2021-05-14,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-07-21,ALXN,remove,Wednesday,,,MISSING_MANIFEST
2021-07-21,MRNA,add,Wednesday,2019-01-02,2026-08-28,WITHIN_RECORDED_RANGE_ONLY
2021-08-03,BBWI,add,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-08-03,LB,remove,Tuesday,2024-06-28,2026-08-27,EVENT_BEFORE_HISTORY
2021-08-30,MXIM,remove,Monday,,,MISSING_MANIFEST
2021-08-30,TECH,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-09-20,BRO,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-09-20,CDAY,add,Monday,,,MISSING_MANIFEST
2021-09-20,MTCH,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-09-20,NOV,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-09-20,PRGO,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-09-20,UNM,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-10-04,COG,remove,Monday,,,MISSING_MANIFEST
2021-10-04,CTRA,add,Monday,,,MISSING_MANIFEST
2021-12-14,EPAM,add,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-12-14,KSU,remove,Tuesday,,,MISSING_MANIFEST
2021-12-20,FDS,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-12-20,HBI,remove,Monday,,,MISSING_MANIFEST
2021-12-20,LEG,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-12-20,SBNY,add,Monday,2024-08-15,2026-08-27,EVENT_BEFORE_HISTORY
2021-12-20,SEDG,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2021-12-20,WU,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2022-01-10,WLTW,remove,Monday,,,MISSING_MANIFEST
2022-01-10,WTW,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2022-02-02,CEG,add,Wednesday,2022-01-19,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2022-02-02,GPS,remove,Wednesday,,,MISSING_MANIFEST
2022-02-15,NDSN,add,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2022-02-15,XLNX,remove,Tuesday,,,MISSING_MANIFEST
2022-02-17,PARA,add,Thursday,2021-02-12,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2022-02-17,VIAC,remove,Thursday,,,MISSING_MANIFEST
2022-03-02,INFO,remove,Wednesday,2024-10-10,2026-08-27,EVENT_BEFORE_HISTORY
2022-03-02,MOH,add,Wednesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
