year,asset,model,rows,dates,mse,mae,correlation
2020,IWM,selected,53,53,0.003026639598951179,0.03779208453216144,0.20196184819534072
2020,IWM,zero,53,53,0.003177973113191456,0.03876986158233543,
2020,IWM,past_mean,53,53,0.0031572355127718185,0.03856169307180491,1.8690975757614653e-17
2020,EFA,ridge1,53,53,0.0018177207702408267,0.02618389159469102,0.2796839959896257
2020,EFA,ridge100,53,53,0.0018174176240540647,0.02618754434811558,0.28235986236109945
2020,EFA,gbm2,53,53,0.001804575671635896,0.026565832731047758,0.2739379242080066
2020,EFA,gbm3,53,53,0.001820326798453116,0.02665143012684971,0.24437138260550842
2020,EFA,mlp16,53,53,0.0017658638464463034,0.026306688410024467,0.29731315154954185
2020,EFA,mlp32,53,53,0.0017514283495441844,0.025806592926413054,0.3496026216938137
2020,EFA,sequence16,53,53,0.0018366220882847797,0.02594914973295475,0.2354091527702851
2020,EFA,sequence32,53,53,0.0018453321628676648,0.02638906360973861,0.22046186304750195
2020,EFA,selected,53,53,0.0018174176240540647,0.02618754434811558,0.28235986236109945
2020,EFA,zero,53,53,0.001937068524564038,0.027340075883818215,
2020,EFA,past_mean,53,53,0.001931162330322531,0.027169213410437522,
2020,EEM,ridge1,53,53,0.0014023984187535627,0.026160797311875643,0.19543271052124025
2020,EEM,ridge100,53,53,0.0014014492157171127,0.026156594075997713,0.19768340510722912
2020,EEM,gbm2,53,53,0.0014185487476512297,0.02678958107455528,0.16253352705076576
2020,EEM,gbm3,53,53,0.0014127612349770404,0.026627833006778318,0.17290106988607737
2020,EEM,mlp16,53,53,0.00139134343178031,0.02577624080518117,0.19740532644554487
2020,EEM,mlp32,53,53,0.0013777616519679528,0.026182004846572075,0.2317091826352353
2020,EEM,sequence16,53,53,0.0014374880472522525,0.027496007992945073,0.16626708911220534
2020,EEM,sequence32,53,53,0.0014855486522036962,0.027376610463184854,0.011882600289997788
2020,EEM,selected,53,53,0.0014014492157171127,0.026156594075997713,0.19768340510722912
2020,EEM,zero,53,53,0.001485577842075109,0.027683086915660758,
2020,EEM,past_mean,53,53,0.0014736703117764643,0.02750832905704312,-5.515739009175859e-17
2020,IEF,ridge1,53,53,0.00010257164112234589,0.006057924099486363,0.09393967804267048
2020,IEF,ridge100,53,53,0.00010255244748735406,0.006050230695847353,0.09310156992456152
2020,IEF,gbm2,53,53,0.00010213870729524854,0.005999229814997073,0.07396116342251155
2020,IEF,gbm3,53,53,0.00010051700973220387,0.005849956913480091,0.1784442108775486
2020,IEF,mlp16,53,53,0.00010416645292850916,0.006167773662277475,0.08367363269049186
