policy,scenario,year,observations,total_return
btc_buy_hold,delay_one_day,2020,366,3.0456618455646867
btc_buy_hold,delay_one_day,2021,365,0.59403630483254655
btc_buy_hold,delay_one_day,2022,365,-0.64228724440201046
btc_buy_hold,delay_one_day,2023,365,1.5582071764965555
btc_buy_hold,delay_one_day,2024,366,1.1836621944823169
eth_buy_hold,delay_one_day,2018,363,-0.8612821040587586
eth_buy_hold,delay_one_day,2019,365,-0.015245537424346645
eth_buy_hold,delay_one_day,2020,366,4.738836159950055
eth_buy_hold,delay_one_day,2021,365,3.9829869724944489
eth_buy_hold,delay_one_day,2022,365,-0.67483268948256137
eth_buy_hold,delay_one_day,2023,365,0.9084459318134277
eth_buy_hold,delay_one_day,2024,366,0.46658089405410474
mix_buy_hold,delay_one_day,2018,363,-0.80874538785689132
mix_buy_hold,delay_one_day,2019,365,0.59418412218741956
mix_buy_hold,delay_one_day,2020,366,3.4249608737170476
mix_buy_hold,delay_one_day,2021,365,1.5786359988593537
mix_buy_hold,delay_one_day,2022,365,-0.66055917239886353
mix_buy_hold,delay_one_day,2023,365,1.2087525734746318
mix_buy_hold,delay_one_day,2024,366,0.85043675405527153
usd_cash,delay_one_day,2018,363,0
usd_cash,delay_one_day,2019,365,0
usd_cash,delay_one_day,2020,366,0
usd_cash,delay_one_day,2021,365,0
usd_cash,delay_one_day,2022,365,0
usd_cash,delay_one_day,2023,365,0
usd_cash,delay_one_day,2024,366,0
