scenario,asset,regime,entry_year,trades,mean_net_trade_return,median_net_trade_return,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5
cost_stress,BTC,UNKNOWN,2025,0,,,,,,1.0
cost_stress,ETH,TREND_UP,all,8,-0.0053384908074819715,-0.00903255399551317,0.375,46.34688975327458,1.0,0.8902491735650145
cost_stress,ETH,TREND_UP,2020,2,0.015070663333867196,0.015070663333867196,0.5,146.8796007432028,1.0,0.9804944107146463
cost_stress,ETH,TREND_UP,2021,0,,,,,,1.0
cost_stress,ETH,TREND_UP,2022,1,-0.03857366152345987,-0.03857366152345987,0.0,,,0.9614263384765401
cost_stress,ETH,TREND_UP,2023,3,-0.018783334170813126,-0.0148119272069267,0.0,,,0.944387959327263
cost_stress,ETH,TREND_UP,2024,0,,,,,,1.0
cost_stress,ETH,TREND_UP,2025,2,0.011037205454154542,0.011037205454154542,1.0,129.87748426100256,1.0,1.0
cost_stress,ETH,TREND_DOWN,all,14,0.00602343395366877,-0.007276016261942186,0.35714285714285715,101.29193942128006,1.0,0.842831118719231
cost_stress,ETH,TREND_DOWN,2020,1,0.008676779532374557,0.008676779532374557,1.0,118.19266530088501,1.0,1.0
cost_stress,ETH,TREND_DOWN,2021,2,0.017948053279977227,0.017948053279977227,0.5,159.41845977211534,1.0,0.9747131260240848
cost_stress,ETH,TREND_DOWN,2022,3,0.003523763207822476,-0.005708360606644369,0.3333333333333333,91.98213858262068,1.0,0.9850522976099619
cost_stress,ETH,TREND_DOWN,2023,2,-0.011087887918045158,-0.011087887918045158,0.0,19.145920960373957,,0.9779055533991297
cost_stress,ETH,TREND_DOWN,2024,4,0.005604425155148335,-0.01976713975545824,0.25,95.50068988847637,1.0,0.9237188736529082
cost_stress,ETH,TREND_DOWN,2025,2,0.014470987425531656,0.014470987425531656,0.5,142.39691923081963,1.0,0.9717794915385514
cost_stress,ETH,RANGE,all,1,0.10038220349146987,0.10038220349146987,1.0,552.7253895994414,1.0,1.0
cost_stress,ETH,RANGE,2020,0,,,,,,1.0
cost_stress,ETH,RANGE,2021,0,,,,,,1.0
cost_stress,ETH,RANGE,2022,0,,,,,,1.0
cost_stress,ETH,RANGE,2023,0,,,,,,1.0
cost_stress,ETH,RANGE,2024,0,,,,,,1.0
cost_stress,ETH,RANGE,2025,1,0.10038220349146987,0.10038220349146987,1.0,552.7253895994414,1.0,1.0
