scenario,gap_mode,regime_filter,asset,accounting_max_relative_error,replay_max_relative_error,cancelled_missing_entries,held_stale_marks,ignored_signals,deferred_exits,trades,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5,combination
cost_stress,past_gap_clean,HIGH_VOL,ETH,2.910395749743638e-16,2.2198754125028977e-16,0.0,1.0,0.0,0.0,20,0.55,96.19087902232879,0.6625974533087237,0.8139359018944144,
cost_stress,past_gap_clean,HIGH_VOL,MIX,,,,,,,27,0.5185185185185185,,0.5861287129210053,0.7808585900744949,"equal initial capital, no sleeve rebalancing"
cost_stress,past_gap_clean,UNKNOWN,BTC,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,1.0,
cost_stress,past_gap_clean,UNKNOWN,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,1.0,
cost_stress,past_gap_clean,UNKNOWN,MIX,,,,,,,0,,,,1.0,"equal initial capital, no sleeve rebalancing"
delay_stress,original,ALL,BTC,2.0637736471241304e-16,3.2582683311905937e-16,0.0,0.0,2.0,0.0,50,0.44,2.7148804492215572,0.47358333193197133,0.604951420987439,
delay_stress,original,ALL,ETH,2.286651631817165e-16,0.0,0.0,1.0,0.0,0.0,65,0.5692307692307692,75.99976728931729,0.3471548324879051,1.12438109292074,
delay_stress,original,ALL,MIX,,,,,,,115,0.5130434782608696,,0.28576601943088736,0.9427932292105662,"equal initial capital, no sleeve rebalancing"
delay_stress,original,TREND_UP,BTC,3.7671766998956737e-16,2.5027990094443583e-16,0.0,0.0,0.0,0.0,12,0.3333333333333333,14.993874759398155,1.0,0.8823772283216549,
delay_stress,original,TREND_UP,ETH,2.0202992489773248e-16,0.0,0.0,0.0,0.0,0.0,8,0.375,43.52076915912602,1.0,0.9389628493112617,
delay_stress,original,TREND_UP,MIX,,,,,,,20,0.35,,0.9592307941500132,0.9139207550693362,"equal initial capital, no sleeve rebalancing"
delay_stress,original,TREND_DOWN,BTC,3.6186892410147357e-16,4.4382814120158e-16,0.0,0.0,0.0,0.0,15,0.4666666666666667,33.6466233750838,0.8837485577922108,0.9078429069928302,
delay_stress,original,TREND_DOWN,ETH,1.9600506114539397e-16,0.0,0.0,0.0,0.0,0.0,14,0.6428571428571429,143.17156789263672,0.9409775188266181,0.9731059585456208,
delay_stress,original,TREND_DOWN,MIX,,,,,,,29,0.5517241379310345,,0.7375481210496198,0.9907083410991457,"equal initial capital, no sleeve rebalancing"
delay_stress,original,RANGE,BTC,1.940024004877202e-16,0.0,0.0,0.0,0.0,0.0,3,0.3333333333333333,43.36042871176397,1.0,0.9592423241931297,
delay_stress,original,RANGE,ETH,1.6843209976333731e-16,0.0,0.0,0.0,0.0,0.0,1,1.0,523.6169355440483,1.0,1.0,
delay_stress,original,RANGE,MIX,,,,,,,4,0.5,,1.0,0.9796211620965649,"equal initial capital, no sleeve rebalancing"
delay_stress,original,VOL_COMPRESSION,BTC,1.0453900791206615e-16,2.2160718029161553e-16,0.0,0.0,0.0,0.0,5,0.4,18.10304109393973,1.0,0.9788069563026012,
delay_stress,original,VOL_COMPRESSION,ETH,2.1113311515693054e-16,1.1208444582285904e-16,0.0,0.0,0.0,0.0,3,0.3333333333333333,16.166446044580816,1.0,0.9863061677870542,
delay_stress,original,VOL_COMPRESSION,MIX,,,,,,,8,0.375,,1.0,0.9825565620448277,"equal initial capital, no sleeve rebalancing"
delay_stress,original,VOL_EXPANSION,BTC,4.3043174502847236e-16,2.2201859340152285e-16,0.0,0.0,1.0,0.0,9,0.6666666666666666,34.4373440025901,0.9419037959533675,0.8755277506003378,
delay_stress,original,VOL_EXPANSION,ETH,3.125367772135103e-16,2.8900742214689433e-16,0.0,0.0,0.0,0.0,19,0.5263157894736842,,0.8081455036528642,0.6738503286652071,
delay_stress,original,VOL_EXPANSION,MIX,,,,,,,28,0.5714285714285714,,0.6150443414317341,0.8163007081096971,"equal initial capital, no sleeve rebalancing"
delay_stress,original,HIGH_VOL,BTC,1.4131808917438574e-16,3.0395187010790315e-16,0.0,0.0,0.0,0.0,7,0.42857142857142855,,1.0,0.7131882969310173,
delay_stress,original,HIGH_VOL,ETH,2.0253637895158815e-16,2.347960999655364e-16,0.0,1.0,0.0,0.0,20,0.65,118.93427227240174,0.6006438172910181,0.9615257105163524,
