policy,family,profile,band,role,scenario,period,first_date,last_date,executed_rebalances,skipped_rebalances,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days
eth_buy_hold,eth_buy_hold,,0,benchmark,base,2020_2024_carry,2020-01-01,2024-12-31,1,0,0.91919907238961973,1.20195320314806,-0.79350360564433942,0.84414765511157763,1.1584056655208432,-0.054251917454277709,26.025934961878797,0.99945265462506339,0.20002738225629765,0.00060004280485931663,-0.4332254252093839,1149
mix_buy_hold,mix_buy_hold,,0,benchmark,base,full,2018-01-03,2024-12-31,2,0,0.26032470146912901,0.68961841045836414,-0.87849214211119997,0.73714907407419117,0.29633128060031866,-0.3067315633787574,5.0422061301175054,0.99960861056750827,0.28559417674931276,0.000856771746156861,-0.40144038732507525,1108
mix_buy_hold,mix_buy_hold,,0,benchmark,base,2018_2019,2018-01-03,2019-12-31,1,0,-0.43964867292160759,-0.30003693022436001,-0.87849214211119997,0.81370362013755193,-0.50045828738438125,-1.2373115084359561,0.315741146918399,0.99999999999998668,0.50090443936416096,0.001502713318092483,-0.15824892984096262,717
mix_buy_hold,mix_buy_hold,,0,benchmark,base,2020_2021,2020-01-01,2021-12-31,0,0,2.4153686131955845,1.8955576001517163,-0.55828804516928321,0.8437678704834618,4.3263842636343757,0.53149427076846112,11.645145782719526,0.99999999999999412,0,0,-0.40144038732507525,163
mix_buy_hold,mix_buy_hold,,0,benchmark,base,2022_2024,2022-01-01,2024-12-31,1,0,0.11108207081076094,0.47420591190021016,-0.69254962487069627,0.59146875648808461,0.16039582843106834,-0.24427495382142617,1.371337916632879,0.99908759124087387,0.33356164383561615,0.0010006597784761532,-0.16113387203839258,786
mix_buy_hold,mix_buy_hold,,0,benchmark,base,2020_2024_carry,2020-01-01,2024-12-31,1,0,0.74056734557787918,1.1480783725192332,-0.76860868788418157,0.70395491297545754,0.96351675078837018,0.064866631562355725,15.96942995656079,0.99945265462506494,0.20002738225629774,0.00060006706321543682,-0.40144038732507525,1108
usd_cash,usd_cash,,0,benchmark,base,full,2018-01-03,2024-12-31,2,0,0,,0,0,,0,1,0,0,0,0,0
usd_cash,usd_cash,,0,benchmark,base,2018_2019,2018-01-03,2019-12-31,1,0,0,,0,0,,0,1,0,0,0,0,0
usd_cash,usd_cash,,0,benchmark,base,2020_2021,2020-01-01,2021-12-31,0,0,0,,0,0,,0,1,0,0,0,0,0
usd_cash,usd_cash,,0,benchmark,base,2022_2024,2022-01-01,2024-12-31,1,0,0,,0,0,,0,1,0,0,0,0,0
