policy,comparator,scenario,period,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
state_rule_vol20_exact,fixed_blend_vol20_exact,frictionless,2022_2024,0.014532729927762444,0.10563987085284532,0.050057362214239509,-0.01070394297575189
state_rule_vol20_exact,trend_vol20_exact,frictionless,2020_2024_carry,0.0054329315584871196,0.014493394603091403,-0.00059515902545625998,0.00099052263668733542
state_rule_vol20_exact,allocation_vol20_exact,frictionless,2020_2024_carry,0.010260615859662758,0.14776388172153543,0.12235627078552302,-0.020331471037591531
state_rule_vol20_exact,fixed_blend_vol20_exact,frictionless,2020_2024_carry,0.0067499939769517514,0.060354022515148875,0.056512890269882599,-0.0059798964569065249
fixed_blend_vol20_band2,trend_vol20_band2,frictionless,full,-0.0091126262845231398,-0.069405510624387934,-0.057173853730561608,0.0075649848098898742
fixed_blend_vol20_band2,allocation_vol20_band2,frictionless,full,0.011490102046935124,0.098169136214748765,0.064842838570240979,-0.01533279170920443
fixed_blend_vol20_band2,state_rule_vol20_band2,frictionless,full,-0.01234159266524304,-0.080950418944003233,-0.058715587073807973,0.007008703907723679
fixed_blend_vol20_band2,trend_vol20_band2,frictionless,2018_2019,-0.023575722059117399,-0.1182915972812108,-0.057173853730561608,0.0092885193780280206
fixed_blend_vol20_band2,allocation_vol20_band2,frictionless,2018_2019,0.020821509959674578,0.065046575941447943,0.064842838570240979,-0.021055316015443692
fixed_blend_vol20_band2,state_rule_vol20_band2,frictionless,2018_2019,-0.02364996687778409,-0.11906814853453582,-0.058715587073807973,0.0090788869267543482
fixed_blend_vol20_band2,trend_vol20_band2,frictionless,2020_2021,0.008888373683652917,0.017330980365302118,-0.0033589881262956478,0.00095403850975775417
fixed_blend_vol20_band2,allocation_vol20_band2,frictionless,2020_2021,-0.0015815301300812212,0.00099305952126993446,0.003401768742426925,-0.00065943052987080253
fixed_blend_vol20_band2,state_rule_vol20_band2,frictionless,2020_2021,0.008228520299297104,0.019359258268952129,0.003401768742427369,0.00046940247249011025
fixed_blend_vol20_band2,trend_vol20_band2,frictionless,2022_2024,-0.0060181607939600035,-0.0706235962704298,-0.057051173704182001,0.011804174385661087
fixed_blend_vol20_band2,allocation_vol20_band2,frictionless,2022_2024,0.0097589655237955153,0.10470468243147568,0.068980545219686662,-0.02257386653072041
fixed_blend_vol20_band2,state_rule_vol20_band2,frictionless,2022_2024,-0.012918494502662137,-0.10002164457385576,-0.05626039118698245,0.010951833963128155
fixed_blend_vol20_band2,trend_vol20_band2,frictionless,2020_2024_carry,-0.0011194637994011991,-0.045562548967046146,-0.055583394998784064,0.0069442491064576894
fixed_blend_vol20_band2,allocation_vol20_band2,frictionless,2020_2024_carry,0.0061157545060854801,0.092180856834253699,0.06415910526577806,-0.013241812884163762
fixed_blend_vol20_band2,state_rule_vol20_band2,frictionless,2020_2024_carry,-0.0059998428405818593,-0.060144022525689511,-0.054596146309318527,0.0062684405954223366
state_rule_vol20_band2,trend_vol20_band2,frictionless,full,0.0032289663807198998,0.011544908319615299,0.0015417333432463654,0.00055628090216619519
