year,asset,model,rows,dates,mse,mae,correlation
2021,pooled,ridge1,156,52,0.0004288956950351088,0.015915090827835997,0.1546480711352625
2021,pooled,ridge100,156,52,0.0004287517011897439,0.015901869472887624,0.15693470649673788
2021,pooled,gbm2,156,52,0.00042384633361548807,0.015867307868542232,0.21127969768992647
2021,pooled,gbm3,156,52,0.00042785286818601494,0.016015659565838877,0.1726967430735754
2021,pooled,mlp16,156,52,0.0004255102359119805,0.016049698310618588,0.2013444438283651
2021,pooled,mlp32,156,52,0.0004792908468486666,0.01713408673859355,0.14545647954422847
2021,pooled,sequence16,156,52,0.0005100927013791112,0.017797823137448803,0.03581564669188687
2021,pooled,sequence32,156,52,0.0006029470116859898,0.0193010836048603,-0.030793406192527593
2021,pooled,selected,156,52,0.0004287517011897439,0.015901869472887624,0.15693470649673788
2021,pooled,zero,156,52,0.0004449702763077995,0.016213804814458253,
2021,pooled,past_mean,156,52,0.0004348330912616341,0.01570937528666379,0.06828381114186587
2021,SPY,ridge1,52,52,0.0003391549321747159,0.015121147802202972,0.282338398543065
2021,SPY,ridge100,52,52,0.0003382124984890962,0.015081374999171946,0.29630241755557146
2021,SPY,gbm2,52,52,0.0003377515705259637,0.015123628764977961,0.2233418866949434
2021,SPY,gbm3,52,52,0.0003484833096289568,0.015456297188886362,0.16981875235183566
2021,SPY,mlp16,52,52,0.0003502108475487772,0.015661584209100046,0.2775429489614767
2021,SPY,mlp32,52,52,0.00045765646750502707,0.01789849456477974,0.19004838252055892
2021,SPY,sequence16,52,52,0.000393720812013559,0.01611051073454809,0.04309929579853683
2021,SPY,sequence32,52,52,0.00042014724551358456,0.01641956843170139,0.02561052643665534
2021,SPY,selected,52,52,0.0003382124984890962,0.015081374999171946,0.29630241755557146
2021,SPY,zero,52,52,0.0003487637916045229,0.015076587946969968,
2021,SPY,past_mean,52,52,0.00033161017187810813,0.014227269042021587,
2021,QQQ,ridge1,52,52,0.0006997273162335433,0.020959684224200352,0.3344276600499443
2021,QQQ,ridge100,52,52,0.0007008549648696498,0.020979386074667865,0.33124679223698594
2021,QQQ,gbm2,52,52,0.0006973785887350764,0.020944691552156128,0.28765801832457927
2021,QQQ,gbm3,52,52,0.0006908599796592249,0.020837735688029848,0.2962799103292855
2021,QQQ,mlp16,52,52,0.0006888982978039027,0.02091579356744415,0.31402842816573023
2021,QQQ,mlp32,52,52,0.0007399357546558399,0.021229923026546877,0.19132173370203587
2021,QQQ,sequence16,52,52,0.0008367078951408678,0.02347442476169784,0.04726964287032059
2021,QQQ,sequence32,52,52,0.00102236800941968,0.02606384405652042,-0.035429891293369264
2021,QQQ,selected,52,52,0.0007008549648696498,0.020979386074667865,0.33124679223698594
2021,QQQ,zero,52,52,0.0007471525865278729,0.02173635985112032,
2021,QQQ,past_mean,52,52,0.0007317129729131736,0.021268753814264185,-3.946563151675265e-17
2021,GLD,ridge1,52,52,0.0002478048366970674,0.011664440457104665,0.01984961479895553
2021,GLD,ridge100,52,52,0.0002471876402104858,0.011644847344823062,0.03168344035690546
2021,GLD,gbm2,52,52,0.00023640884158542393,0.011533603288492605,0.16860817659789631
2021,GLD,gbm3,52,52,0.00024421531526986316,0.011752945820600432,0.05013481074342229
2021,GLD,mlp16,52,52,0.00023742156238326187,0.011571717155311577,0.2165243911776649
2021,GLD,mlp32,52,52,0.0002402803183851325,0.012273842624454035,0.18994910418002406
2021,GLD,sequence16,52,52,0.00029984939698290665,0.013808533916100475,0.012469231248894909
2021,GLD,sequence32,52,52,0.00036632578012470537,0.015419838326359101,-0.09119067612930432
2021,GLD,selected,52,52,0.0002471876402104858,0.011644847344823062,0.03168344035690546
