period,asset,model,rows,decision_dates,event_fraction,brier,brier_skill,log_loss
2024,SPY,logistic,48,48,0.10416666666666667,0.09557815705497386,0.008355151229428204,0.3441377239722338
2024,SPY,gbm,48,48,0.10416666666666667,0.09262632330986881,0.03898108939307099,0.3304254242998717
2024,SPY,past_frequency,48,48,0.10416666666666667,0.09638345540086292,0.0,0.3468997100260219
2024,QQQ,logistic,48,48,0.22916666666666666,0.17076187945779753,0.03461353338239326,0.5221967276560767
2024,QQQ,gbm,48,48,0.22916666666666666,0.17657326149098188,0.001759423407763916,0.5345191658113947
2024,QQQ,past_frequency,48,48,0.22916666666666666,0.17688447617884098,0.0,0.5389133500394956
2024,GLD,logistic,48,48,0.08333333333333333,0.07941030384662716,-0.004488825830336385,0.30044349197579245
2024,GLD,gbm,48,48,0.08333333333333333,0.07981056516596234,-0.009551871848405113,0.30102799857077955
2024,GLD,past_frequency,48,48,0.08333333333333333,0.07905543775560127,0.0,0.29980126689879477
exclude_2018,pooled,logistic,927,309,0.17583603020496225,0.15270032788355883,-0.055668194499925994,0.4869134926010084
exclude_2018,pooled,gbm,927,309,0.17583603020496225,0.14674533781534496,-0.014499365979989465,0.47107424184301405
exclude_2018,pooled,past_frequency,927,309,0.17583603020496225,0.14464803304592647,0.0,0.4645176198636586
exclude_2018,SPY,logistic,309,309,0.1553398058252427,0.14196142199522396,-0.05815081352355489,0.46847856920417136
exclude_2018,SPY,gbm,309,309,0.1553398058252427,0.13627003310463665,-0.01572838847306124,0.44989212284331076
exclude_2018,SPY,past_frequency,309,309,0.1553398058252427,0.13415991386190418,0.0,0.4442609746344733
exclude_2018,QQQ,logistic,309,309,0.255663430420712,0.21002733627660106,-0.07318250999076104,0.6218085666644033
exclude_2018,QQQ,gbm,309,309,0.255663430420712,0.1948543725451717,0.0043472039501391,0.5816422829494703
exclude_2018,QQQ,past_frequency,309,309,0.255663430420712,0.19570514271464334,0.0,0.5840894852692796
exclude_2018,GLD,logistic,309,309,0.11650485436893204,0.1061122253788514,-0.019534987713050178,0.37045334193445045
exclude_2018,GLD,gbm,309,309,0.11650485436893204,0.1091116077962265,-0.04835330063719634,0.381688319736261
exclude_2018,GLD,past_frequency,309,309,0.11650485436893204,0.10407904256123171,0.0,0.36520239968722273
exclude_2019,pooled,logistic,927,309,0.20711974110032363,0.17745258026654515,-0.0460453437599071,0.5658495393847949
exclude_2019,pooled,gbm,927,309,0.20711974110032363,0.16887508708828816,0.004517160244097207,0.5369444255937506
exclude_2019,pooled,past_frequency,927,309,0.20711974110032363,0.1696413844056791,0.0,0.5336253587860362
exclude_2019,SPY,logistic,309,309,0.20064724919093851,0.18127850688966068,-0.053020769003296664,0.6058775764901868
exclude_2019,SPY,gbm,309,309,0.20064724919093851,0.17184133614605404,0.0017983982777798335,0.5679705210794818
exclude_2019,SPY,past_frequency,309,309,0.20064724919093851,0.1721509320858354,0.0,0.5553306169118091
exclude_2019,QQQ,logistic,309,309,0.3042071197411003,0.2407440524218534,-0.04411440866809424,0.7071784390691264
exclude_2019,QQQ,gbm,309,309,0.3042071197411003,0.2268695324502891,0.01605981399672507,0.6641302747996565
exclude_2019,QQQ,past_frequency,309,309,0.3042071197411003,0.23057248365047872,0.0,0.6721792073805425
exclude_2019,GLD,logistic,309,309,0.11650485436893204,0.11033518148812133,-0.03893046418956181,0.3844926025950713
exclude_2019,GLD,gbm,309,309,0.11650485436893204,0.1079143926685213,-0.016136000826824537,0.3787324809021133
exclude_2019,GLD,past_frequency,309,309,0.11650485436893204,0.10620073748072299,0.0,0.37336625206575724
exclude_2020,pooled,logistic,924,308,0.18506493506493507,0.1576277354943532,-0.02766393954786639,0.5168465678326315
exclude_2020,pooled,gbm,924,308,0.18506493506493507,0.1543540683585486,-0.006321060675703372,0.500872492802657
exclude_2020,pooled,past_frequency,924,308,0.18506493506493507,0.1533845155291753,0.0,0.491663298914145
exclude_2020,SPY,logistic,308,308,0.17532467532467533,0.1582443160424659,-0.0345658828408939,0.5484985520934911
exclude_2020,SPY,gbm,308,308,0.17532467532467533,0.15533171054093964,-0.015523920656008272,0.5273907325377611
