asset,timeframe,year,candidate,benchmark,metric,candidate_loss,benchmark_loss,relative_improvement
BTC,1,all,boosted_augmented,linear_augmented,log_variance_mse,0.8515761049347451,0.8676492873654492,0.01852497623724103
BTC,1,all,boosted_augmented,linear_augmented,variance_qlike,0.5225583262715396,0.5261834041388258,0.006889380848525861
BTC,1,all,linear_augmented,linear_volatility,log_variance_mse,0.8676492873654492,0.8958989157128298,0.0315321604389972
BTC,1,all,linear_augmented,linear_volatility,variance_qlike,0.5261834041388258,0.5549780968077861,0.05188437676114843
BTC,1,all,boosted_augmented,boosted_volatility,log_variance_mse,0.8515761049347451,0.9159517426255552,0.07028278313689185
BTC,1,all,boosted_augmented,boosted_volatility,variance_qlike,0.5225583262715396,0.5997315626068462,0.12867963126679305
BTC,1,all,boosted_augmented,ewma_calibrated,log_variance_mse,0.8515761049347451,0.9060244705434618,0.06009591062817199
BTC,1,all,boosted_augmented,ewma_calibrated,variance_qlike,0.5225583262715396,0.5656875330389952,0.07624210230647332
BTC,4,2020,boosted_volatility,linear_volatility,log_variance_mse,0.9526851357035693,0.8549264645157256,-0.11434746173545962
BTC,4,2020,boosted_volatility,linear_volatility,variance_qlike,1.1090145908773714,0.8053580259663348,-0.3770454321190684
BTC,4,2020,boosted_augmented,linear_augmented,log_variance_mse,0.9229377311779237,0.9420494003674688,0.020287332258892343
BTC,4,2020,boosted_augmented,linear_augmented,variance_qlike,0.9127828866982581,0.8146317643349023,-0.1204852629868789
BTC,4,2020,linear_augmented,linear_volatility,log_variance_mse,0.9420494003674688,0.8549264645157256,-0.10190693523693173
BTC,4,2020,linear_augmented,linear_volatility,variance_qlike,0.8146317643349023,0.8053580259663348,-0.011515050535990001
BTC,4,2020,boosted_augmented,boosted_volatility,log_variance_mse,0.9229377311779237,0.9526851357035693,0.031224801784775158
BTC,4,2020,boosted_augmented,boosted_volatility,variance_qlike,0.9127828866982581,1.1090145908773714,0.1769424007522472
BTC,4,2020,boosted_augmented,ewma_calibrated,log_variance_mse,0.9229377311779237,0.8622805097769768,-0.07034511474303806
BTC,4,2020,boosted_augmented,ewma_calibrated,variance_qlike,0.9127828866982581,0.8187406093328463,-0.11486211419516912
BTC,4,2021,boosted_volatility,linear_volatility,log_variance_mse,0.5919826453368024,0.585336479883885,-0.011354435749905578
BTC,4,2021,boosted_volatility,linear_volatility,variance_qlike,0.5044750696857683,0.5186916852142355,0.02740860502245246
BTC,4,2021,boosted_augmented,linear_augmented,log_variance_mse,0.5229097738452678,0.55839381075528,0.06354661571555875
BTC,4,2021,boosted_augmented,linear_augmented,variance_qlike,0.4195419752528505,0.45623667992430017,0.08042909806712206
BTC,4,2021,linear_augmented,linear_volatility,log_variance_mse,0.55839381075528,0.585336479883885,0.046029369524260066
BTC,4,2021,linear_augmented,linear_volatility,variance_qlike,0.45623667992430017,0.5186916852142355,0.12040872655234391
BTC,4,2021,boosted_augmented,boosted_volatility,log_variance_mse,0.5229097738452678,0.5919826453368024,0.11668056831672202
BTC,4,2021,boosted_augmented,boosted_volatility,variance_qlike,0.4195419752528505,0.5044750696857683,0.1683593492257638
BTC,4,2021,boosted_augmented,ewma_calibrated,log_variance_mse,0.5229097738452678,0.5882996158822531,0.11115057748069801
BTC,4,2021,boosted_augmented,ewma_calibrated,variance_qlike,0.4195419752528505,0.5248996425852541,0.2007196400696567
BTC,4,2022,boosted_volatility,linear_volatility,log_variance_mse,0.8318464223072306,0.8242597463826713,-0.0092042295621666
BTC,4,2022,boosted_volatility,linear_volatility,variance_qlike,0.49310323904510417,0.4914514505644951,-0.0033610410117048684
BTC,4,2022,boosted_augmented,linear_augmented,log_variance_mse,0.809084141180485,0.8159340375878096,0.008395159524874463
BTC,4,2022,boosted_augmented,linear_augmented,variance_qlike,0.48455144632224295,0.4985343570354557,0.02804803824627533
BTC,4,2022,linear_augmented,linear_volatility,log_variance_mse,0.8159340375878096,0.8242597463826713,0.010100831481095307
BTC,4,2022,linear_augmented,linear_volatility,variance_qlike,0.4985343570354557,0.4914514505644951,-0.01441222009381593
BTC,4,2022,boosted_augmented,boosted_volatility,log_variance_mse,0.809084141180485,0.8318464223072306,0.027363561970503603
BTC,4,2022,boosted_augmented,boosted_volatility,variance_qlike,0.48455144632224295,0.49310323904510417,0.01734280378977393
BTC,4,2022,boosted_augmented,ewma_calibrated,log_variance_mse,0.809084141180485,0.833002747062674,0.028713717891724277
BTC,4,2022,boosted_augmented,ewma_calibrated,variance_qlike,0.48455144632224295,0.5019651447672635,0.034691051015293906
BTC,4,2023,boosted_volatility,linear_volatility,log_variance_mse,1.3078634201306862,1.285655907532514,-0.01727329409685807
BTC,4,2023,boosted_volatility,linear_volatility,variance_qlike,0.6607496477443292,0.6528887968410609,-0.01204010689309154
